INSERT INTO listings (listing_id, seller_id, status, start_date, end_date) VALUES
(1, 1, 'Active', '2022-01-01', '2022-12-31'),
(2, 2, 'Active', '2022-01-01', '2022-12-31'),
(3, 3, 'Active', '2022-01-01', '2022-12-31'),
(4, 4, 'Inactive', '2022-01-01', '2022-06-30'),
(5, 5, 'Inactive', '2022-01-01', '2022-06-30'),
(6, 6, 'Inactive', '2022-01-01', '2022-06-30'),
(7, 7, 'Active', '2022-07-01', '2022-12-31'),
(8, 8, 'Active', '2022-07-01', '2022-12-31'),
(9, 9, 'Active', '2022-07-01', '2022-12-31'),
(10, 10, 'Inactive', '2022-07-01', '2022-12-31');
